timestamp,rssi1,rssi2,rssi3,rssi4,linear-x,linear-y,linear-z,rotation-x,rotation-y,rotation-z,rotation-w
1.59057E+12,-46,-41,-42,-33,-0.3141,-0.0655,0.2868,0.038299,0.035699,0.694955,0.717143
1.59057E+12,-46,-41,-42,-33,-0.2769,-0.1827,-0.104399994,0.039054,0.035606,0.695127,0.71694
1.59057E+12,-46,-41,-42,-33,-0.2769,-0.1827,-0.104399994,0.039054,0.035606,0.695127,0.71694
1.59057E+12,-46,-41,-42,-33,-0.0982,-0.14559999,-0.2719,0.039042,0.035058,0.695196,0.716902
1.59057E+12,-46,-41,-42,-33,-0.119799994,-0.0515,-0.18419999,0.03922,0.034447,0.695684,0.716448
1.59057E+12,-46,-41,-42,-33,-0.119799994,-0.0515,-0.18419999,0.03922,0.034447,0.695684,0.716448
1.59057E+12,-46,-41,-42,-33,-0.0547,-0.043899998,0.0777,0.038349,0.033346,0.695756,0.716477
1.59057E+12,-46,-41,-42,-33,-0.0547,-0.043899998,0.0777,0.038349,0.033346,0.695756,0.716477
1.59057E+12,-46,-41,-42,-33,-0.0898,-0.033299997,0.38959998,0.038144,0.032064,0.695926,0.716382
1.59057E+12,-46,-41,-42,-33,-0.1352,-0.0651,0.1645,0.039148,0.031199,0.695874,0.716416
1.59057E+12,-46,-41,-42,-33,-0.1352,-0.0651,0.1645,0.039148,0.031199,0.695874,0.716416
1.59057E+12,-46,-41,-42,-33,-0.0769,-0.1283,0.0486,0.04074,0.0306,0.695678,0.716544
1.59057E+12,-46,-41,-42,-33,-0.0769,-0.1283,0.0486,0.04074,0.0306,0.695678,0.716544
1.59057E+12,-46,-41,-42,-33,-0.102699995,-0.1309,-0.0195,0.041408,0.030106,0.695622,0.716581
1.59057E+12,-46,-41,-42,-33,-0.151,-0.1257,-0.3719,0.041893,0.029948,0.69574,0.71644497
1.59057E+12,-46,-41,-42,-33,-0.151,-0.1257,-0.3719,0.041893,0.029948,0.69574,0.71644497
1.59057E+12,-46,-41,-42,-33,-0.008599999,-0.0398,0.0774,0.04143,0.029154,0.695664,0.716578
1.59057E+12,-46,-41,-42,-33,-0.0016,-0.0953,0.2634,0.041413,0.028923,0.695519,0.716729
1.59057E+12,-46,-41,-42,-33,-0.0016,-0.0953,0.2634,0.041413,0.028923,0.695519,0.716729
1.59057E+12,-46,-41,-42,-33,0.087699994,-0.0502,0.0775,0.041521,0.029099,0.69542,0.716812
1.59057E+12,-46,-41,-42,-33,0.0692,-0.0936,-0.1761,0.041657,0.029983,0.695136,0.717043
1.59057E+12,-46,-41,-42,-33,-0.067,0.085499994,-0.3805,0.041916,0.030952,0.694623,0.717483
1.59057E+12,-46,-41,-42,-33,-0.067,0.085499994,-0.3805,0.041916,0.030952,0.694623,0.717483
1.59057E+12,-46,-41,-42,-33,-0.0814,0.0321,-0.2536,0.041544,0.03093,0.694336,0.717784
1.59057E+12,-46,-41,-42,-33,-0.0133,-0.018199999,0.1672,0.041611,0.030237,0.694151,0.717989
1.59057E+12,-46,-41,-42,-33,-0.0133,-0.018199999,0.1672,0.041611,0.030237,0.694151,0.717989
1.59057E+12,-46,-41,-42,-33,-0.110999994,0.0044,0.2762,0.042905,0.029387,0.693656,0.718426
1.59057E+12,-46,-41,-42,-33,-0.074599996,0.0458,-0.083,0.045065,0.029151,0.693253,0.718692
1.59057E+12,-46,-41,-42,-33,-0.074599996,0.0458,-0.083,0.045065,0.029151,0.693253,0.718692
1.59057E+12,-46,-41,-42,-33,-0.2399,-0.0874,-0.1677,0.047354,0.028645,0.692947,0.718861
1.59057E+12,-46,-41,-42,-33,-0.21249999,0.0213,-0.3814,0.048127,0.029212,0.692536,0.719182
1.59057E+12,-46,-41,-42,-33,-0.21249999,0.0213,-0.3814,0.048127,0.029212,0.692536,0.719182
1.59057E+12,-46,-41,-42,-33,-0.1621,-0.0394,0.227,0.048494,0.028976,0.69261,0.719095
1.59057E+12,-46,-41,-42,-33,-0.038399998,-0.1029,0.2954,0.048787,0.028292,0.692625,0.719089
1.59057E+12,-46,-41,-42,-33,-0.038399998,-0.1029,0.2954,0.048787,0.028292,0.692625,0.719089
1.59057E+12,-46,-41,-42,-33,-0.27989998,-0.1999,-0.1144,0.049342,0.029085,0.692548,0.719094
1.59057E+12,-46,-41,-42,-33,0.0998,-0.0539,-0.20189999,0.04914,0.030105,0.692679,0.718939
1.59057E+12,-46,-41,-42,-33,0.0998,-0.0539,-0.20189999,0.04914,0.030105,0.692679,0.718939
1.59057E+12,-46,-41,-42,-33,0.0557,0.0309,-0.074599996,0.048399,0.031112,0.692529,0.719091
1.59057E+12,-46,-41,-42,-33,0.0526,0.0263,0.0532,0.048336,0.031518,0.692452,0.719151
1.59057E+12,-46,-41,-42,-33,0.0526,0.0263,0.0532,0.048336,0.031518,0.692452,0.719151
1.59057E+12,-46,-41,-42,-33,-0.0893,0.080299996,-0.2122,0.048004,0.031483,0.691762,0.719839
1.59057E+12,-46,-41,-42,-33,-0.0775,0.1757,0.1223,0.04806,0.03234,0.691448,0.720099
1.59057E+12,-46,-41,-42,-33,-0.0775,0.1757,0.1223,0.04806,0.03234,0.691448,0.720099
1.59057E+12,-46,-41,-42,-33,-0.16759999,0.0075,0.1716,0.048186,0.032316,0.691307,0.720227
1.59057E+12,-46,-41,-42,-33,0.017199999,0.033999998,0.1942,0.049754,0.032346,0.691333,0.720094
1.59057E+12,-46,-41,-42,-33,0.017199999,0.033999998,0.1942,0.049754,0.032346,0.691333,0.720094
1.59057E+12,-46,-41,-42,-33,-0.118099995,-3.00E-04,-0.24479999,0.050921,0.032235,0.691522,0.719836
1.59057E+12,-46,-41,-42,-33,-0.23259999,0.020399999,-0.14559999,0.051471,0.0323,0.691549,0.719768
1.59057E+12,-46,-41,-42,-33,-0.13679999,0.1504,0.1797,0.052846,0.031419,0.691898,0.719372
1.59057E+12,-46,-41,-42,-33,-0.13679999,0.1504,0.1797,0.052846,0.031419,0.691898,0.719372
1.59057E+12,-46,-41,-42,-33,-0.1149,0.0748,0.18249999,0.054414,0.031037,0.692092,0.719085
1.59057E+12,-46,-41,-42,-33,0.038399998,-0.1038,-0.1682,0.055671,0.030621,0.692168,0.718933
