timestamp,rssi1,rssi2,rssi3,rssi4,linear-x,linear-y,linear-z,rotation-x,rotation-y,rotation-z,rotation-w,,
1.59057E+12,-62,-89,-84,-76,0.1063,-0.0221,0.55829996,0.042096,-0.079419,-0.88472,0.457372,,
1.59057E+12,-62,-89,-84,-76,0.011399999,0.022699999,-0.1469,0.042858,-0.079261,-0.884276,0.458188,,
1.59057E+12,-62,-89,-84,-76,0.011399999,0.022699999,-0.1469,0.042858,-0.079261,-0.884276,0.458188,,
1.59057E+12,-62,-89,-84,-76,0.0254,-0.048699997,-0.62869996,0.042506,-0.07904,-0.883916,0.458953,,
1.59057E+12,-62,-89,-84,-76,0.0254,-0.048699997,-0.62869996,0.042506,-0.07904,-0.883916,0.458953,,
1.59057E+12,-62,-89,-84,-76,0.121599995,0.121599995,-0.4644,0.040867,-0.079109,-0.88338,0.460119,,
1.59057E+12,-62,-89,-84,-76,-0.14029999,0.2487,-0.0104,0.039169,-0.077734,-0.883609,0.460062,,
1.59057E+12,-62,-89,-84,-76,-0.14029999,0.2487,-0.0104,0.039169,-0.077734,-0.883609,0.460062,,
1.59057E+12,-62,-89,-84,-76,-0.31939998,0.0165,0.1978,0.038566,-0.07559,-0.883307,0.461048,,
1.59057E+12,-62,-89,-84,-76,-0.4863,-0.0094,0.2119,0.036944,-0.074532,-0.883061,0.461824,,
1.59057E+12,-62,-89,-84,-76,-0.4863,-0.0094,0.2119,0.036944,-0.074532,-0.883061,0.461824,,
1.59057E+12,-62,-89,-84,-76,0.83449996,0.1462,0.6347,0.032651998,-0.076876,-0.881527,0.464686,,
1.59057E+12,-62,-89,-84,-76,0.83449996,0.1462,0.6347,0.032651998,-0.076876,-0.881527,0.464686,,
1.59057E+12,-62,-89,-84,-76,0.4351,0.0433,-0.0528,0.0307,-0.080466,-0.881458,0.46434098,,
1.59057E+12,-62,-89,-84,-76,-0.1327,0.0484,-0.7017,0.030808,-0.082954,-0.881838,0.463174,,
1.59057E+12,-62,-89,-84,-76,-0.1327,0.0484,-0.7017,0.030808,-0.082954,-0.881838,0.463174,,
1.59057E+12,-62,-89,-84,-76,-0.4944,0.1454,-0.7363,0.033385,-0.083375,-0.881626,0.463323,,
1.59057E+12,-62,-89,-84,-76,-0.4944,0.1454,-0.7363,0.033385,-0.083375,-0.881626,0.463323,,
1.59057E+12,-62,-89,-84,-76,-0.2086,-0.0512,-0.2925,0.033377,-0.081122,-0.881961,0.463086,,0.362893442
1.59057E+12,-62,-89,-84,-76,0.18509999,0.0207,0.29299998,0.032207,-0.077552,-0.882027,0.463653,,
1.59057E+12,-62,-89,-84,-76,0.18509999,0.0207,0.29299998,0.032207,-0.077552,-0.882027,0.463653,,
1.59057E+12,-62,-89,-84,-76,0.7144,0.0976,0.5069,0.032389,-0.073559,-0.882138,0.464081,,
1.59057E+12,-62,-89,-84,-76,0.37399998,0.0801,0.528,0.03214,-0.070717,-0.882584,0.463692,,
1.59057E+12,-62,-89,-84,-76,0.37399998,0.0801,0.528,0.03214,-0.070717,-0.882584,0.463692,,
1.59057E+12,-62,-89,-84,-76,-0.089499995,-0.088199995,0.3566,0.033487,-0.068394996,-0.883273,0.462631,,
1.59057E+12,-62,-89,-84,-76,-0.089499995,-0.088199995,0.3566,0.033487,-0.068394996,-0.883273,0.462631,,
1.59057E+12,-62,-89,-84,-76,-0.2013,0.0712,0.3267,0.034963,-0.067473,-0.883707,0.461829,,
1.59057E+12,-62,-89,-84,-76,-0.0048,0,0.0442,0.035244,-0.068039,-0.883843,0.461464,,
1.59057E+12,-62,-89,-84,-76,-0.0048,0,0.0442,0.035244,-0.068039,-0.883843,0.461464,,
1.59057E+12,-62,-89,-84,-76,0.045399997,0.0686,-0.37269998,0.036462,-0.069113,-0.883637,0.461605,,
1.59057E+12,-62,-89,-84,-76,0.045399997,0.0686,-0.37269998,0.036462,-0.069113,-0.883637,0.461605,,
1.59057E+12,-62,-89,-84,-76,0.0379,0.15179999,-0.4632,0.03713,-0.067921,-0.88354,0.461913,,
1.59057E+12,-62,-89,-84,-76,-0.020399999,0.0345,-0.486,0.036226,-0.067232996,-0.883625,0.461923,,
1.59057E+12,-62,-89,-84,-76,-0.020399999,0.0345,-0.486,0.036226,-0.067232996,-0.883625,0.461923,,
1.59057E+12,-62,-89,-84,-76,-0.1131,-0.060099997,-0.2963,0.034122,-0.065866,-0.883792,0.46196198,,
