timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,linear-x,linear-y,linear-z,gravity-x,gravity-y,gravity-z,rotation-x,rotation-y,rotation-z,rotation-w
1595464969204,-54,-54,-63,-50,-54,-55,-55,-54,-0.055299997,-0.093399994,0.9252,0.40829998,0.92689997,9.7541,0.016598,-0.048977,-0.736334,0.674638
1595464969239,-54,-54,-63,-50,-54,-55,-55,-54,0.1293,0.059499998,0.8262,0.40019998,0.92109996,9.755,0.016724,-0.04847,-0.736076,0.674953
1595464969258,-54,-54,-63,-50,-54,-55,-55,-54,0.18779999,0.21339999,-0.2012,0.4005,0.94369996,9.7529,0.017513,-0.049325,-0.735717,0.675262
1595464969272,-54,-54,-63,-50,-54,-55,-55,-54,0.1355,0.2193,-0.5008,0.40379998,0.98679996,9.7485,0.01891,-0.051057,-0.735273,0.67558
1595464969285,-54,-54,-63,-50,-54,-55,-55,-54,-0.024999999,0.1029,0.0279,0.38779998,0.9855,9.7492,0.01945,-0.050461,-0.735466,0.675399
1595464969296,-54,-54,-63,-50,-54,-55,-55,-54,-0.024999999,0.1029,0.0279,0.38779998,0.9855,9.7492,0.019897,-0.049889,-0.735691,0.675183
1595464969307,-54,-54,-63,-50,-54,-55,-55,-54,-0.020499999,0.046299998,0.2232,0.3735,0.9833,9.75,0.019897,-0.049889,-0.735691,0.675183
1595464969320,-54,-54,-63,-50,-54,-55,-55,-54,0.1218,0.0576,-0.2663,0.3685,0.9916,9.7494,0.020352,-0.050035,-0.735945,0.674882
1595464969331,-54,-54,-63,-50,-54,-55,-55,-54,0.1218,0.0576,-0.2663,0.3685,0.9916,9.7494,0.020352,-0.050035,-0.735945,0.674882
1595464969343,-54,-54,-63,-50,-54,-55,-55,-54,0.062,-0.009,-0.2557,0.3694,0.9995,9.7485,0.020568,-0.050375,-0.736261,0.674505
1595464969357,-54,-54,-63,-50,-54,-55,-55,-54,0.062,-0.009,-0.2557,0.3694,0.9995,9.7485,0.020568,-0.050375,-0.736261,0.674505
1595464969371,-54,-54,-63,-50,-54,-55,-55,-54,-0.1862,-0.1366,0.2039,0.3627,0.9898,9.7498,0.020469,-0.049783,-0.736469,0.674325
1595464969385,-54,-54,-63,-50,-54,-55,-55,-54,-0.16839999,-0.1061,0.28059998,0.34489998,0.97889996,9.7515,0.020728,-0.048772,-0.736978,0.673835
1595464969398,-54,-54,-63,-50,-54,-55,-55,-54,0.0137,-0.016999999,0.0547,0.3392,0.978,9.7518,0.020926,-0.048538,-0.736797,0.674044
1595464969413,-54,-54,-63,-50,-54,-55,-55,-54,0.0137,-0.016999999,0.0547,0.3392,0.978,9.7518,0.020926,-0.048538,-0.736797,0.674044
1595464969427,-54,-54,-63,-50,-54,-55,-55,-54,0.1302,0.0184,0.015899999,0.34039998,0.98179996,9.7514,0.02099,-0.048729,-0.73707,0.673729
1595464969441,-54,-54,-63,-50,-54,-55,-55,-54,0.19839999,0.092599995,-0.0927,0.3311,0.9763,9.752299,0.021145,-0.048201,-0.737185,0.673637
1595464969457,-54,-54,-63,-50,-54,-55,-55,-54,0.19839999,0.092599995,-0.0927,0.3311,0.9763,9.752299,0.021145,-0.048201,-0.737185,0.673637
1595464969475,-54,-54,-63,-50,-54,-55,-55,-54,0.133,0.1436,-0.0528,0.3279,0.9841,9.751599,0.021505,-0.0484,-0.737602,0.673155
1595464969488,-54,-54,-63,-50,-54,-55,-55,-54,0.0528,0.0828,-0.014599999,0.3197,0.9762,9.7526,0.021518,-0.047832,-0.737935,0.67283
1595464969502,-54,-54,-63,-50,-54,-55,-55,-54,-0.0279,0.008599999,0.1121,0.3123,0.972,9.7533,0.021602,-0.047438,-0.738661,0.672057
1595464969516,-54,-54,-63,-50,-54,-55,-55,-54,-0.0279,0.008599999,0.1121,0.3123,0.972,9.7533,0.021602,-0.047438,-0.738661,0.672057
1595464969531,-54,-54,-63,-50,-54,-55,-55,-54,-0.0112,-0.0328,0.1209,0.30539998,0.9644,9.7543,0.021577,-0.046927,-0.739054,0.671662
1595464969545,-54,-54,-63,-50,-54,-55,-55,-54,0.044299997,-0.0309,-0.057099998,0.289,0.9528,9.755899,0.021746,-0.045944,-0.73978,0.670925
1595464969558,-54,-54,-63,-50,-54,-55,-55,-54,-0.0857,-0.0039999997,-0.1282,0.26229998,0.9356,9.7583,0.022138,-0.04439,-0.740265,0.670482
1595464969572,-54,-54,-63,-50,-54,-55,-55,-54,-0.0857,-0.0039999997,-0.1282,0.26229998,0.9356,9.7583,0.022138,-0.04439,-0.740265,0.670482
1595464969586,-54,-54,-63,-50,-54,-55,-55,-54,-0.054199997,-0.0028,-0.0427,0.2307,0.9149,9.7611,0.022581,-0.042542,-0.740943,0.669838
1595464969599,-54,-54,-63,-50,-54,-55,-55,-54,0.023899999,-0.035299998,-0.015299999,0.2113,0.8982,9.7631,0.022685,-0.04128,-0.741939,0.66881
1595464969614,-54,-54,-63,-50,-54,-55,-55,-54,0.023899999,-0.035299998,-0.015299999,0.2113,0.8982,9.7631,0.022685,-0.04128,-0.741939,0.66881
1595464969628,-54,-54,-63,-50,-54,-55,-55,-54,0.0663,-0.019299999,0.14,0.2082,0.88229996,9.7646,0.022209,-0.040594,-0.742779,0.667935
1595464969641,-54,-54,-63,-50,-54,-55,-55,-54,0.034199998,0.029299999,0.1292,0.20099999,0.8728,9.7656,0.022097,-0.040018998,-0.743765,0.666875
1595464969655,-54,-54,-63,-50,-54,-55,-55,-54,0.034199998,0.029299999,0.1292,0.20099999,0.8728,9.7656,0.022097,-0.040018998,-0.743765,0.666875
1595464969669,-54,-54,-63,-50,-54,-55,-55,-54,0.0618,0.0915,0.060099997,0.19309999,0.8695,9.7661,0.022244,-0.039645,-0.744502,0.66607
1595464969684,-54,-54,-63,-50,-54,-55,-55,-54,0.0742,0.0815,0.0884,0.18069999,0.8599,9.7671995,0.022327,-0.038893,-0.745588,0.664895
1595464969697,-54,-54,-63,-50,-54,-55,-55,-54,0.0742,0.0815,0.0884,0.18069999,0.8599,9.7671995,0.022327,-0.038893,-0.745588,0.664895
1595464969712,-54,-54,-63,-50,-54,-55,-55,-54,0.151,0.085099995,0.1568,0.1823,0.8562,9.7674,0.022093,-0.038837,-0.74639,0.664006
1595464969727,-54,-54,-63,-50,-54,-55,-55,-54,0.22389999,0.103599995,0.0971,0.17809999,0.8476,9.7683,0.021914,-0.038389,-0.747216,0.663108
1595464969740,-54,-54,-63,-50,-54,-55,-55,-54,0.1013,0.0285,0.1656,0.183,0.84419996,9.768499,0.02154,-0.038466,-0.748461,0.661711
1595464969754,-54,-54,-63,-50,-54,-55,-55,-54,0.1013,0.0285,0.1656,0.183,0.84419996,9.768499,0.02154,-0.038466,-0.748461,0.661711
1595464969767,-54,-54,-63,-50,-54,-55,-55,-54,0.1091,-0.0058,0.1063,0.185,0.8394,9.7689,0.021247,-0.03838,-0.749421,0.660638
1595464969782,-54,-54,-63,-50,-54,-55,-55,-54,0.096999995,0.0022,0.0381,0.1971,0.8411,9.768499,0.020751,-0.038901,-0.750867,0.658979
1595464969796,-54,-54,-63,-50,-54,-55,-55,-54,0.096999995,0.0022,0.0381,0.1971,0.8411,9.768499,0.020751,-0.038901,-0.750867,0.658979
1595464969810,-54,-54,-63,-50,-54,-55,-55,-54,0.1191,-0.0075999997,0.0088,0.20439999,0.8412,9.7683,0.020392999,-0.039195,-0.752263,0.657379
1595464969823,-54,-54,-63,-50,-54,-55,-55,-54,-0.0112,-0.033099998,0.038,0.20729999,0.8372,9.7685995,0.020042,-0.039193,-0.754053,0.655335
1595464969837,-54,-54,-63,-50,-54,-55,-55,-54,-0.0112,-0.033099998,0.038,0.20729999,0.8372,9.7685995,0.020042,-0.039193,-0.754053,0.655335
1595464969851,-54,-54,-63,-50,-54,-55,-55,-54,-0.032899998,-0.060799997,0.185,0.2094,0.8355,9.7687,0.019802,-0.039248,-0.75573,0.653406
1595464969866,-54,-54,-63,-50,-54,-55,-55,-54,-0.1547,-0.113199994,0.0764,0.2038,0.82909995,9.7694,0.019696,-0.038868,-0.757604,0.651257
1595464969880,-54,-54,-63,-50,-54,-55,-55,-54,-0.1308,-0.12459999,0.0481,0.2093,0.8405,9.7683,0.01976,-0.039544,-0.759257,0.649287
1595464969894,-54,-54,-63,-50,-54,-55,-55,-54,-0.1308,-0.12459999,0.0481,0.2093,0.8405,9.7683,0.01976,-0.039544,-0.759257,0.649287
1595464969907,-54,-54,-63,-50,-54,-55,-55,-54,0.0652,-0.0127,-0.1178,0.2191,0.8462,9.7676,0.019474,-0.040141,-0.760789,0.647462
1595464969921,-54,-54,-63,-50,-54,-55,-55,-54,0.1269,-0.0206,-0.068799995,0.2261,0.8443,9.7676,0.019035,-0.040348,-0.762487,0.645462
1595464969935,-54,-54,-63,-50,-54,-55,-55,-54,0.1269,-0.0206,-0.068799995,0.2261,0.8443,9.7676,0.019035,-0.040348,-0.762487,0.645462
1595464969948,-54,-54,-63,-50,-54,-55,-55,-54,-0.0613,-0.088,0.3421,0.228,0.8333,9.768499,0.018461,-0.040044,-0.764655,0.642928
1595464969963,-54,-54,-63,-50,-54,-55,-55,-54,-0.1601,-0.1174,0.3617,0.2288,0.8333,9.7684,0.018339,-0.04011,-0.76614,0.641157
1595464969977,-54,-54,-63,-50,-54,-55,-55,-54,-0.1601,-0.1174,0.3617,0.2288,0.8333,9.7684,0.018339,-0.04011,-0.76614,0.641157
1595464969990,-54,-54,-63,-50,-54,-55,-55,-54,-0.2105,-0.060099997,0.1457,0.2105,0.8348,9.7687,0.019001,-0.039621,-0.7678,0.63918
1595464970003,-54,-54,-63,-50,-54,-55,-55,-54,-0.20529999,-0.0222,0.1457,0.20529999,0.8361,9.7687,0.019172,-0.039538,-0.769032,0.637698
1595464970016,-54,-54,-63,-50,-54,-55,-55,-54,-0.20529999,-0.0222,0.1457,0.20529999,0.8361,9.7687,0.019172,-0.039538,-0.769032,0.637698
1595464970031,-54,-54,-63,-50,-54,-55,-55,-54,-0.0622,0.0464,0.421,0.1995,0.8459,9.768,0.019631,-0.039777,-0.770427,0.635983
1595464970044,-54,-54,-63,-50,-54,-55,-55,-54,-0.0341,0.0689,0.24599999,0.2008,0.8627,9.7664995,0.020049,-0.040518,-0.771591,0.634509
1595464970058,-54,-54,-63,-50,-54,-55,-55,-54,-0.0753,0.0696,-0.0849,0.19299999,0.89129996,9.7641,0.02121,-0.041439,-0.772718,0.633039
1595464970071,-54,-54,-63,-50,-54,-55,-55,-54,-0.0753,0.0696,-0.0849,0.19299999,0.89129996,9.7641,0.02121,-0.041439,-0.772718,0.633039
1595464970085,-54,-54,-63,-50,-54,-55,-55,-54,-0.1819,0.1047,-0.23099999,0.1819,0.90529996,9.763,0.022026,-0.041672,-0.773851,0.63161
1595464970099,-54,-54,-63,-50,-54,-55,-55,-54,-0.15779999,0.1339,-0.2491,0.15779999,0.92509997,9.7616,0.023559,-0.041711,-0.774701,0.630509
1595464970112,-54,-54,-63,-50,-54,-55,-55,-54,-0.15779999,0.1339,-0.2491,0.15779999,0.92509997,9.7616,0.023559,-0.041711,-0.774701,0.630509
1595464970126,-54,-54,-63,-50,-54,-55,-55,-54,-0.0735,0.1952,-0.0729,0.152,0.9226,9.7619,0.023658,-0.041455,-0.775478,0.629567
1595464970140,-54,-54,-63,-50,-54,-55,-55,-54,-0.050499998,0.099,-0.0624,0.1486,0.9306,9.7612,0.023986,-0.041702,-0.776445,0.628345
1595464970154,-54,-54,-63,-50,-54,-55,-55,-54,-0.050499998,0.099,-0.0624,0.1486,0.9306,9.7612,0.023986,-0.041702,-0.776445,0.628345
1595464970169,-54,-54,-63,-50,-54,-55,-55,-54,-0.1501,-0.0084999995,-0.1516,0.1501,0.9206,9.7621,0.023561,-0.041373,-0.777115,0.627554
1595464970185,-54,-54,-63,-50,-54,-55,-55,-54,-0.2861,-0.090399995,0.0426,0.1292,0.9044,9.764,0.023804,-0.040098,-0.778204,0.62627697
1595464970201,-54,-54,-63,-50,-54,-55,-55,-54,-0.28599998,-0.15359999,0.2864,0.1291,0.88909996,9.7654,0.02328,-0.039508,-0.778802,0.62559
1595464970218,-54,-54,-63,-50,-54,-55,-55,-54,-0.28599998,-0.15359999,0.2864,0.1291,0.88909996,9.7654,0.02328,-0.039508,-0.778802,0.62559
1595464970233,-54,-54,-63,-50,-54,-55,-55,-54,-0.070599996,-0.0413,0.3831,0.1295,0.8749,9.7666,0.022775,-0.038974,-0.779387,0.624913
1595464970250,-54,-54,-63,-50,-54,-55,-55,-54,0.0515,0.060999997,0.2259,0.1348,0.87049997,9.767,0.022428,-0.038966,-0.77934897,0.624974
1595464970266,-54,-54,-63,-50,-54,-55,-55,-54,-0.0519,0.1357,0.08,0.1303,0.88409996,9.7657995,0.023036,-0.039371,-0.77939,0.624876
1595464970281,-54,-54,-63,-50,-54,-55,-55,-54,-0.126,0.13509999,-0.14549999,0.126,0.8847,9.7657995,0.023233,-0.039251,-0.779307,0.62498
1595464970298,-54,-54,-63,-50,-54,-55,-55,-54,-0.126,0.13509999,-0.14549999,0.126,0.8847,9.7657995,0.023233,-0.039251,-0.779307,0.62498
1595464970316,-54,-54,-63,-50,-54,-55,-55,-54,-0.114099994,0.0323,-0.23339999,0.114099994,0.8894,9.7655,0.023862,-0.039057,-0.779235,0.625058
