timestamp,rssi1,rssi2,rssi3,rssi4,linear-x,linear-y,linear-z,gravity-x,gravity-y,gravity-z,rotation-x,rotation-y,rotation-z,rotation-w
1591496390192,-64,0,0,0,0.2519,0.0123,0.8745,1.0971999,3.0944998,9.2406,0.155255,0.068938,0.677934,0.715225
1591496390205,-64,0,0,0,0.2519,0.0123,0.8745,1.0971999,3.0944998,9.2406,0.155255,0.068938,0.677934,0.715225
1591496390218,-64,0,0,0,0.0372,0.161,0.4782,1.0668,3.093,9.2446995,0.154042,0.070142,0.678583,0.714755
1591496390230,-64,0,0,0,-0.1308,0.1312,0.0349,1.0194,3.1030998,9.246699,0.152719,0.072288,0.678676,0.714737
1591496390242,-64,0,0,0,-0.1308,0.1312,0.0349,1.0194,3.1030998,9.246699,0.152719,0.072288,0.678676,0.714737
1591496390255,-64,0,0,0,0.2244,0.2338,0.5258,0.9781,3.0888,9.255899,0.150627,0.073405,0.679274,0.714499
1591496390269,-64,0,0,0,0.4172,0.2341,0.8312,0.9618,3.0688999,9.2642,0.149237,0.073362,0.67976,0.714333
1591496390281,-64,0,0,0,0.4172,0.2341,0.8312,0.9618,3.0688999,9.2642,0.149237,0.073362,0.67976,0.714333
1591496390293,-64,0,0,0,0.45279998,0.1542,0.341,0.9264,3.0802,9.2641,0.148357,0.075166,0.68012,0.713986
1591496390305,-64,0,0,0,0.45279998,0.1542,0.341,0.9264,3.0802,9.2641,0.148357,0.075166,0.68012,0.713986
1591496390320,-64,0,0,0,0.2093,0.102,-0.098799996,0.8954,3.1223998,9.252999,0.148928,0.077758,0.67946,0.714218
1591496390332,-64,0,0,0,0.2382,-0.0982,-0.3592,0.85679996,3.1460998,9.2486,0.14850199,0.079978,0.679001,0.71449697
1591496390344,-64,0,0,0,0.2382,-0.0982,-0.3592,0.85679996,3.1460998,9.2486,0.14850199,0.079978,0.679001,0.71449697
1591496390357,-64,0,0,0,0.048699997,-0.2206,-0.2138,0.821,3.1506999,9.250299,0.147416,0.081437,0.678803,0.714746
1591496390370,-64,0,0,0,0.112799995,-0.2183,-0.28039998,0.7766,3.168,9.248199,0.146508,0.083693996,0.678638,0.714828
1591496390383,-64,0,0,0,0.112799995,-0.2183,-0.28039998,0.7766,3.168,9.248199,0.146508,0.083693996,0.678638,0.714828
