timestamp,rssi1,linear-x,linear-y,linear-z,gravity-x,gravity-y,gravity-z,rotation-x,rotation-y,rotation-z,rotation-w
1.59438E+12,-47,9.00E-04,-8.00E-04,-1.00E-04,0.1265,-0.0383,9.805699,0.003575,-0.005717,0.753472,0.657444
1.59438E+12,-47,0.0107,0.0089,-1.00E-04,0.1265,-0.0383,9.805699,0.003575,-0.005717,0.753472,0.657444
1.59438E+12,-47,0.0107,0.0089,-1.00E-04,0.1265,-0.0383,9.805699,0.003575,-0.005717,0.753472,0.657444
1.59438E+12,-47,0.009699999,0.0082,-1.00E-04,0.1274,-0.0376,9.805699,0.003636,-0.005718,0.753472,0.657444
1.59438E+12,-47,0,-0.0016,-1.00E-04,0.1274,-0.0376,9.805699,0.003636,-0.005718,0.753472,0.657444
1.59438E+12,-47,0,-0.0016,-1.00E-04,0.1274,-0.0376,9.805699,0.003636,-0.005718,0.753472,0.657444
1.59438E+12,-47,0,0.0164,0.0096,0.1274,-0.036,9.805699,0.003687,-0.005659,0.753472,0.657445
1.59438E+12,-47,0,0.0164,0.0096,0.1274,-0.036,9.805699,0.003687,-0.005659,0.753472,0.657445
1.59438E+12,-47,0,0.0066,-1.00E-04,0.1274,-0.036,9.805699,0.003687,-0.005659,0.753472,0.657445
1.59438E+12,-47,0,-0.0028,-1.00E-04,0.1274,-0.0363,9.805699,0.003678,-0.005669,0.753472,0.657444
1.59438E+12,-47,0,-0.0028,-1.00E-04,0.1274,-0.0363,9.805699,0.003678,-0.005669,0.753472,0.657444
1.59438E+12,-47,-0.0098,-0.0028,0.0096,0.1274,-0.0363,9.805699,0.003678,-0.005669,0.753472,0.657444
1.59438E+12,-47,-0.0098,-0.0028,0.0096,0.1274,-0.0363,9.805699,0.003678,-0.005669,0.753472,0.657444
1.59438E+12,-47,0,-0.0026,-1.00E-04,0.1274,-0.0365,9.805699,0.00367,-0.005679,0.753472,0.657444
1.59438E+12,-47,-0.0098,0.0071,0.0096,0.1274,-0.0365,9.805699,0.00367,-0.005679,0.753472,0.657444
1.59438E+12,-47,0,-0.0024,-1.00E-04,0.1274,-0.0368,9.805699,0.003663,-0.005687,0.753472,0.657444
1.59438E+12,-47,0,-0.0024,-1.00E-04,0.1274,-0.0368,9.805699,0.003663,-0.005687,0.753472,0.657444
1.59438E+12,-47,0,-0.0024,-0.0099,0.1274,-0.0368,9.805699,0.003663,-0.005687,0.753472,0.657444
1.59438E+12,-47,0,-0.0021,-1.00E-04,0.1274,-0.037,9.805699,0.003656,-0.005695,0.753472,0.657444
1.59438E+12,-47,0,-0.0021,-1.00E-04,0.1274,-0.037,9.805699,0.003656,-0.005695,0.753472,0.657444
1.59438E+12,-47,0,0.0076,-1.00E-04,0.1274,-0.037,9.805699,0.003656,-0.005695,0.753472,0.657444
1.59438E+12,-47,0,0.0076,-1.00E-04,0.1274,-0.037,9.805699,0.003656,-0.005695,0.753472,0.657444
1.59438E+12,-47,0,0.0069,-1.00E-04,0.1274,-0.0363,9.805699,0.003677,-0.00567,0.753472,0.657444
1.59438E+12,-47,0,0.0069,-1.00E-04,0.1274,-0.0363,9.805699,0.003677,-0.00567,0.753472,0.657444
1.59438E+12,-47,0,-0.0028,0.0096,0.1274,-0.0363,9.805699,0.003677,-0.005671,0.753472,0.657444
1.59438E+12,-47,-0.009,-0.0025,1.00E-04,0.1266,-0.036599997,9.805699,0.003637,-0.005651,0.753472,0.657445
1.59438E+12,-47,-0.009,-0.0025,1.00E-04,0.1266,-0.036599997,9.805699,0.003637,-0.005651,0.753472,0.657445
1.59438E+12,-47,-0.009,-0.0123,-0.009699999,0.1266,-0.036599997,9.805699,0.003637,-0.005651,0.753472,0.657445
1.59438E+12,-47,-0.009,-0.0123,-0.009699999,0.1266,-0.036599997,9.805699,0.003637,-0.005651,0.753472,0.657445
1.59438E+12,-47,6.00E-04,-0.0023,-0.009699999,0.1267,-0.0368,9.805699,0.003632,-0.005662,0.753472,0.657445
1.59438E+12,-47,-0.009099999,0.0074,-0.009699999,0.1267,-0.0368,9.805699,0.003632,-0.005662,0.753472,0.657445
1.59438E+12,-47,-0.009099999,0.0074,-0.009699999,0.1267,-0.0368,9.805699,0.003632,-0.005662,0.753472,0.657445
1.59438E+12,-47,5.00E-04,-0.0021,-0.0096,0.1267,-0.037,9.805699,0.003628,-0.005673,0.753472,0.657445
