x,y
0,0
0,0.8
0,1.6
0,2.4
0,3.2
0,4
0,4.8
0,5.6
0,6.4
0,7.2
0,8
0.8,8
1.6,8
2.4,8
3.2,8
4,8
4,7.2
4,6.4
4,5.6
4,4.8
4,4
4,3.2
4,2.4
4,1.6
4,0.8
4,0
3.2,0
2.4,0
1.6,0
0.8,0
0,0
