x,y
2,1
2,1.8
2,2.6
2,3.4
2,4.2
2,5
2,5.8
2,6.6
2,7.4
2,8.2
2,9
2,9.8
2,10.6
2,11.4
2,12.2
2,13
2.8,13
3.6,13
4.4,13
5.2,13
6,13
6.8,13
7.6,13
8.4,13
9.2,13
10,13
10.8,13
11.6,13
12.4,13
13.2,13
14,13
