rssi1,rssi2,rssi3,rssi4
-5.60E+01,-5.67E+01,-5.62E+01,-5.90E+01
-5.08E+01,-6.03E+01,-6.16E+01,-5.16E+01
-5.14E+01,-5.84E+01,-5.93E+01,-5.92E+01
-5.86E+01,-6.85E+01,-5.95E+01,-4.87E+01
-6.30E+01,-5.95E+01,-5.47E+01,-4.81E+01
-6.04E+01,-6.30E+01,-6.01E+01,-5.81E+01
-6.27E+01,-6.32E+01,-6.10E+01,-5.67E+01
-6.59E+01,-6.54E+01,-5.18E+01,-5.04E+01
-6.30E+01,-6.16E+01,-4.30E+01,-5.41E+01
-3.77E+01,-5.09E+01,-5.15E+01,-5.90E+01
-4.20E+01,-5.36E+01,-5.76E+01,-5.52E+01
-4.80E+01,-6.01E+01,-5.33E+01,-5.52E+01
-5.41E+01,-5.64E+01,-4.94E+01,-5.58E+01
-6.28E+01,-5.35E+01,-5.48E+01,-4.68E+01
-6.31E+01,-6.45E+01,-5.12E+01,-5.10E+01
-6.27E+01,-6.66E+01,-5.62E+01,-5.31E+01
-6.54E+01,-6.54E+01,-5.37E+01,-5.19E+01
-6.22E+01,-6.97E+01,-4.48E+01,-4.70E+01
-4.04E+01,-5.30E+01,-5.03E+01,-5.33E+01
-3.94E+01,-5.90E+01,-5.16E+01,-6.11E+01
-4.54E+01,-5.67E+01,-4.95E+01,-4.94E+01
-5.01E+01,-6.41E+01,-5.18E+01,-4.88E+01
-5.45E+01,-6.00E+01,-5.05E+01,-4.92E+01
-5.85E+01,-6.06E+01,-5.20E+01,-4.53E+01
-6.05E+01,-6.45E+01,-5.22E+01,-4.85E+01
-6.41E+01,-6.46E+01,-5.20E+01,-5.32E+01
-6.47E+01,-6.61E+01,-4.80E+01,-5.80E+01
-4.32E+01,-4.43E+01,-5.37E+01,-5.18E+01
-4.04E+01,-5.55E+01,-5.39E+01,-5.39E+01
-4.72E+01,-6.02E+01,-5.55E+01,-5.21E+01
-4.83E+01,-5.79E+01,-6.02E+01,-4.88E+01
-5.06E+01,-6.12E+01,-5.80E+01,-4.52E+01
-5.33E+01,-6.79E+01,-5.08E+01,-4.43E+01
-5.63E+01,-6.07E+01,-5.28E+01,-5.04E+01
-5.66E+01,-6.05E+01,-4.26E+01,-5.24E+01
-5.85E+01,-6.68E+01,-5.05E+01,-5.53E+01
-4.33E+01,-5.11E+01,-5.32E+01,-5.74E+01
-4.48E+01,-5.99E+01,-5.75E+01,-6.08E+01
-4.40E+01,-5.54E+01,-5.73E+01,-5.59E+01
-4.81E+01,-5.93E+01,-5.97E+01,-4.90E+01
-4.93E+01,-5.87E+01,-5.31E+01,-4.98E+01
-5.48E+01,-6.21E+01,-4.74E+01,-4.74E+01
-5.69E+01,-6.52E+01,-4.37E+01,-5.06E+01
-5.83E+01,-6.40E+01,-4.14E+01,-5.84E+01
-5.80E+01,-6.19E+01,-5.03E+01,-4.94E+01
